full_name,pdes,neo,pha,H,diameter,albedo,rot_per,BV,spec_B,spec_T,diameter_sigma,e,a,q,i,ad,per,per_y,moid,sigma_e,sigma_a,sigma_tp,sigma_per,two_body
   184 Dejopeja (A878 DA),184,N,N,8.37,62.483,0.215,6.4416,0.699,X,X,0.32,0.058923487,3.190652642,3.002648261,1.129909202,3.378657022,2081.697958,5.699378393,2.00209,2.57E-09,4.17E-09,1.21E-05,4.09E-06,
   172 Baucis (A877 CA),172,N,N,8.72,62.43,0.1382,27.417,0.89,L,S,1.2,0.114132777,2.379719179,2.108115222,10.0160019,2.651323136,1340.870984,3.67110468,1.09595,2.00E-09,1.43E-09,4.44E-06,1.21E-06,
    75 Eurydike (A862 SA),75,N,N,9.22,62.377,0.117,5.357,0.71,Xk,M,1.603,0.3053352,2.672934925,1.856793807,4.994021851,3.489076044,1596.176841,4.370094021,0.847734,1.66E-09,1.56E-09,2.35E-06,1.39E-06,
   442 Eichsfeldia (A899 CA),442,N,N,9.96,62.171,0.044,11.871,0.692,Ch,C,1.181,0.070738745,2.345561248,2.179639189,6.068254581,2.511483306,1312.105009,3.592347733,1.1801,1.15E-09,8.53E-10,3.85E-06,7.16E-07,
   792 Metcalfia (A907 FC),792,N,N,10.15,61.804,0.024,9.17,0.708,X,,0.38,0.130694327,2.622321593,2.279599037,8.627668966,2.965044148,1551.055555,4.246558672,1.30384,1.08E-09,1.12E-09,2.89E-06,9.95E-07,
    77 Frigga (A862 VA),77,N,N,8.58,61.39,0.177,9.0032,0.746,Xe,MU,0.177,0.133542443,2.667440225,2.311223741,2.421201244,3.02365671,1591.257527,4.356625673,1.32478,2.10E-09,1.91E-09,4.95E-06,1.71E-06,
   307 Nike (A891 EB),307,N,N,10.06,61.313,0.043,11.857,0.669,,CX,0.789,0.1429513,2.906696288,2.491180277,6.128539503,3.3222123,1810.080588,4.955730564,1.50755,8.39E-10,1.36E-09,1.86E-06,1.27E-06,
  1356 Nyanza (1935 JH),1356,N,N,10.27,60.895,0.052,12.422,,,,0.757,0.055099249,3.081558865,2.911767286,7.944852286,3.251350445,1975.850718,5.409584445,1.92145,9.66E-10,1.98E-09,4.76E-06,1.91E-06,
   971 Alsatia (A921 WH),971,N,N,10.08,60.867,0.046,9.614,0.669,C,,0.527,0.163551143,2.639285904,2.207627678,13.79482615,3.07094413,1566.130993,4.287832973,1.22403,9.26E-10,1.15E-09,3.05E-06,1.02E-06,
  1071 Brita (A924 ER),1071,N,N,10.64,60.862,0.036,5.8169,,Xk,,0.536,0.111443084,2.79943345,2.487455951,5.361289732,3.111410948,1710.817359,4.683962653,1.50439,9.85E-10,1.75E-09,4.87E-06,1.61E-06,
