# PARTHENOPE -> PSYCHE -> THEMIS LT-chain trajectory
# Frame: heliocentric ECLIPJ2000, units km / km/s / kg
# Time system: SPICE ET (TDB seconds past J2000)
et_seconds_past_J2000,utc_iso,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,mass_kg
1070081080.102484,2033-11-28T16:43:30.919463,-382395203.151857,118936905.991791,19494648.749738,-4.486805806,-16.730892569,1.029381694,1221.1094
1070797649.586889,2033-12-06T23:46:20.403664,-385407376.606937,106887232.578575,20221825.306695,-3.919322345,-16.897793710,1.000026969,1221.1094
1071514219.071293,2033-12-15T06:49:09.887849,-388010640.332741,94724162.303341,20927546.528796,-3.345574312,-17.047349870,0.969500683,1221.1094
1072230788.555697,2033-12-23T13:51:59.372021,-390200649.776508,82460214.243033,21610978.276260,-2.765966379,-17.179309380,0.937817910,1221.1094
1072947358.040102,2033-12-31T20:54:48.856188,-391973353.684328,70108087.648540,22271297.432925,-2.180912616,-17.293421062,0.904994355,1221.1094
1073663927.524506,2034-01-09T03:57:38.340352,-393325001.099254,57680661.520650,22907692.377895,-1.590837228,-17.389434438,0.871046406,1221.1094
1074380497.008910,2034-01-17T11:00:27.824519,-394252148.892823,45190994.014174,23519363.499282,-0.996175308,-17.467100002,0.835991202,1221.1094
1075097066.493315,2034-01-25T18:03:17.308695,-394751669.839667,32652321.630175,24105523.752468,-0.397373603,-17.526169542,0.799846693,1221.1094
1075813635.977719,2034-02-03T01:06:06.792884,-394820761.243755,20078058.154178,24665399.265279,0.205108719,-17.566396524,0.762631705,1221.1094
1076530205.462123,2034-02-11T08:08:56.277091,-394456954.123420,7481793.296006,25198229.992507,0.810799273,-17.587536544,0.724366016,1221.1094
1077246774.946527,2034-02-19T15:11:45.761319,-393658122.960752,-5122709.015422,25703270.422195,1.419211677,-17.589347840,0.685070424,1221.1094
1077963344.430932,2034-02-27T22:14:35.245573,-392422496.019132,-17721512.731444,26179790.336102,2.029844750,-17.571591877,0.644766830,1221.1094
1078679913.915336,2034-03-08T05:17:24.729855,-390748666.230590,-30300512.228775,26627075.626734,2.642181723,-17.534034011,0.603478314,1221.1094
1079396483.399740,2034-03-16T12:20:14.214168,-388635602.652295,-42845435.354646,27044429.173298,3.255689441,-17.476444220,0.561229220,1221.1094
1080113052.884144,2034-03-24T19:23:03.698514,-386082662.488799,-55341847.028900,27431171.778867,3.869817578,-17.398597926,0.518045246,1221.1094
1080829622.368549,2034-04-02T02:25:53.182893,-383089603.673573,-67775153.462699,27786643.170978,4.410309330,-17.241236989,0.499197711,1217.1898
1081546191.852953,2034-04-10T09:28:42.667305,-379709416.193235,-80088313.908149,28128290.662426,5.023891702,-17.122285473,0.454220126,1217.1898
1082262761.337357,2034-04-18T16:31:32.151752,-375889968.572160,-92308806.925192,28437397.588157,5.636217989,-16.982564081,0.408379542,1217.1898
1082979330.821761,2034-04-26T23:34:21.636230,-371632377.820895,-104421683.696166,28713356.551270,6.246679464,-16.821890725,0.361706940,1217.1898
1083695900.306166,2034-05-05T06:37:11.120738,-366938204.191394,-116411868.184195,28955582.958175,6.854647610,-16.640092618,0.314235002,1217.1898
1084412469.790570,2034-05-13T13:40:00.605275,-361809465.614649,-128264164.244841,29163516.272932,7.459473410,-16.437007539,0.265998211,1217.1898
1085129039.274974,2034-05-21T20:42:50.089838,-356248652.636905,-139963263.688201,29336621.346949,8.060486669,-16.212485220,0.217032960,1217.1898
1085845608.759378,2034-05-30T03:45:39.574423,-350258743.822375,-151493755.368833,29474389.825476,8.656995387,-15.966388831,0.167377658,1217.1898
1086562178.243783,2034-06-07T10:48:29.059026,-343843221.583958,-162840135.383353,29576341.632049,9.248285194,-15.698596584,0.117072840,1217.1898
1087278747.728187,2034-06-15T17:51:18.543644,-337006088.396460,-173986818.457716,29642026.531673,9.833618850,-15.409003451,0.066161280,1217.1898
1087995317.212591,2034-06-24T00:54:08.028273,-329751883.339085,-184918150.608016,29671025.773121,10.412235830,-15.097523001,0.014688096,1217.1898
1088711886.696996,2034-07-02T07:56:57.512908,-322085698.905650,-195618423.160056,29662953.810263,10.983351991,-14.764089357,-0.037299135,1217.1898
1089428456.181400,2034-07-10T14:59:46.997544,-314013198.011827,-206071888.213824,29617460.101765,11.546159357,-14.408659270,-0.089750270,1217.1898
1090145025.665804,2034-07-18T22:02:36.482178,-305540631.118983,-216262775.639204,29534230.987909,12.099826013,-14.031214319,-0.142612494,1217.1898
1090861595.150208,2034-07-27T05:05:25.966805,-296674853.383647,-226175311.688828,29412991.642564,12.643496141,-13.631763225,-0.195830219,1217.1898
1091578164.634613,2034-08-04T12:08:15.451419,-287423341.730457,-235793739.312499,29253508.097562,13.176290202,-13.210344285,-0.249344979,1217.1898
1092294734.119017,2034-08-12T19:11:04.936018,-277794211.734563,-245102340.255329,29055589.335854,13.697305285,-12.767027916,-0.303095345,1217.1898
1093011303.603421,2034-08-21T02:13:54.420598,-267796234.186970,-254085459.018092,28819089.448856,14.205615650,-12.301919307,-0.357016832,1217.1898
1093727873.087826,2034-08-29T09:16:43.905155,-257438851.203256,-262727528.753534,28543909.852342,14.700273461,-11.815161169,-0.411041826,1217.1898
1094444442.572230,2034-09-06T16:19:33.389685,-246732191.722560,-271013099.166016,28230001.554066,15.180309757,-11.306936577,-0.465099517,1217.1898
1095161012.056634,2034-09-14T23:22:22.874187,-235687086.229877,-278926866.473935,27877367.465041,15.644735654,-10.777471879,-0.519115840,1217.1898
1095877581.541038,2034-09-23T06:25:12.358657,-224400639.411868,-286403834.476952,27546122.207625,15.973175840,-10.157503999,-0.489237261,1210.7341
1096594151.025443,2034-10-01T13:28:01.843095,-212799490.583433,-293479089.595000,27176243.214223,16.403510353,-9.586686093,-0.543102274,1210.7341
1097310720.509847,2034-10-09T20:30:51.327500,-200896554.842245,-300138078.608902,26767820.594485,16.815317164,-8.995735234,-0.596802138,1210.7341
1098027289.994251,2034-10-18T03:33:40.811871,-188705473.450756,-306366513.500318,26321001.723335,17.207575541,-8.385047069,-0.650255256,1210.7341
1098743859.478655,2034-10-26T10:36:30.296208,-176240623.846021,-312150408.811193,25835993.654104,17.579251880,-7.755070940,-0.703376655,1210.7341
1099460428.963060,2034-11-03T17:39:19.780513,-163517127.999322,-317476121.233233,25313065.538003,17.929302175,-7.106312989,-0.756077990,1210.7341
1100176998.447464,2034-11-12T00:42:09.264788,-150550858.880120,-322330391.419833,24752551.034523,18.256674839,-6.439339250,-0.808267565,1210.7341
1100893567.931868,2034-11-20T07:44:58.749036,-137358444.765594,-326700387.991514,24154850.695527,18.560313900,-5.754778676,-0.859850384,1210.7341
1101610137.416273,2034-11-28T14:47:48.233259,-123957271.124917,-330573753.681794,23520434.303878,18.839162580,-5.053326080,-0.910728231,1210.7341
1102326706.900677,2034-12-06T21:50:37.717460,-110365479.796999,-333938653.543497,22849843.145517,19.092167269,-4.335744938,-0.960799772,1210.7341
1103043276.385081,2034-12-15T04:53:27.201646,-96601965.172134,-336783825.105696,22143692.191955,19.318281914,-3.602870018,-1.009960704,1210.7341
1103759845.869485,2034-12-23T11:56:16.685819,-82686367.082209,-339098630.338933,21402672.168247,19.516472818,-2.855609796,-1.058103931,1210.7341
1104476415.353890,2034-12-31T18:59:06.169986,-68639060.101563,-340873109.251088,20627551.479608,19.685723860,-2.094948581,-1.105119776,1210.7341
1105192984.838294,2035-01-09T02:01:55.654150,-54481138.961577,-342098034.898527,19819177.968129,19.825042120,-1.321948328,-1.150896248,1210.7341
