# PARTHENOPE -> PSYCHE -> THEMIS LT-chain trajectory
# Frame: heliocentric ECLIPJ2000, units km / km/s / kg
# Time system: SPICE ET (TDB seconds past J2000)
et_seconds_past_J2000,utc_iso,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,mass_kg
1037861588.724905,2032-11-20T18:51:59.542053,43866201.379013,374294104.085887,-20429403.469787,-16.202777171,4.783513214,0.836323650,1294.8640
1038256389.954579,2032-11-25T08:32:00.771628,37461318.578665,376110719.169776,-20095323.953144,-16.242243417,4.419403070,0.855987293,1294.8640
1038651191.184253,2032-11-29T22:12:02.001197,31042142.244794,377783863.554141,-19753578.665789,-16.275203376,4.056720909,0.875158018,1294.8640
1039045992.413927,2032-12-04T11:52:03.230759,24611220.652450,379314109.541775,-19404361.276298,-16.301759843,3.695509520,0.893840546,1294.8640
1039440793.643601,2032-12-09T01:32:04.460316,18171062.227652,380702045.820102,-19047863.613120,-16.322011903,3.335809147,0.912039478,1294.8640
1039835594.873275,2032-12-13T15:12:05.689869,11724136.998558,381948276.494719,-18684275.714242,-16.336055001,2.977657683,0.929759283,1294.8640
1040230396.102949,2032-12-18T04:52:06.919417,4968552.993550,383007782.041912,-18289734.453094,-17.114718465,2.505458772,1.007919508,1261.9860
1040625197.332623,2032-12-22T18:32:08.148963,-1788856.401535,383926794.867311,-17888484.068600,-17.116194190,2.150374479,1.024669954,1261.9860
1041019998.562297,2032-12-27T08:12:09.378506,-8545616.824380,384705933.124528,-17480716.260553,-17.111444879,1.796886648,1.040936182,1261.9860
1041414799.791971,2032-12-31T21:52:10.608048,-15299287.083217,385345838.915395,-17066621.670694,-17.100553597,1.445054752,1.056720865,1261.9860
1041809601.021645,2033-01-05T11:32:11.837590,-22047458.404188,385847177.369694,-16646389.889043,-17.083601505,1.094935996,1.072026656,1261.9860
1042204402.251319,2033-01-10T01:12:13.067132,-28787753.680407,386210635.777976,-16220209.462608,-17.060667864,0.746585459,1.086856185,1261.9860
1042599203.480993,2033-01-14T14:52:14.296675,-35517826.723892,386436922.775604,-15788267.906311,-17.031830045,0.400056214,1.101212051,1261.9860
1042994004.710667,2033-01-19T04:32:15.526220,-42235361.521420,386526767.576220,-15350751.715966,-16.997163538,0.055399454,1.115096815,1261.9860
1043388805.940341,2033-01-23T18:12:16.755768,-48938071.495275,386480919.252896,-14907846.383179,-16.956741971,-0.287335390,1.128513003,1261.9860
1043783607.170015,2033-01-28T07:52:17.985320,-55623698.769751,386300146.065312,-14459736.412030,-16.910637120,-0.628100535,1.141463092,1261.9860
1044178408.399689,2033-02-01T21:32:19.214877,-62290013.444213,385985234.831337,-14006605.337393,-16.858918928,-0.966849733,1.153949512,1261.9860
1044573209.629363,2033-02-06T11:12:20.444438,-68934812.873424,385536990.341484,-13548635.744806,-16.801655527,-1.303538167,1.165974643,1261.9860
1044968010.859037,2033-02-11T00:52:21.674006,-75555920.955790,384956234.814766,-13086009.291752,-16.738913256,-1.638122348,1.177540806,1261.9860
1045362812.088711,2033-02-15T14:32:22.903580,-82151187.430101,384243807.394512,-12618906.730255,-16.670756682,-1.970560012,1.188650266,1261.9860
1045757613.318385,2033-02-20T04:12:24.133161,-88718487.181303,383400563.682821,-12147507.930700,-16.597248627,-2.300810029,1.199305224,1261.9860
1046152414.548059,2033-02-24T17:52:25.362750,-95255719.555767,382427375.312333,-11671991.906774,-16.518450192,-2.628832308,1.209507818,1261.9860
1046547215.777733,2033-03-01T07:32:26.592348,-101760807.686484,381325129.554093,-11192536.841449,-16.434420781,-2.954587702,1.219260118,1261.9860
1046942017.007407,2033-03-05T21:12:27.821954,-108231697.828565,380094728.960333,-10709320.113923,-16.345218126,-3.278037931,1.228564126,1261.9860
1047336818.237081,2033-03-10T10:52:29.051569,-114666358.705393,378737091.041039,-10222518.327449,-16.250898320,-3.599145490,1.237421770,1261.9860
1047731619.466755,2033-03-15T00:32:30.281194,-121062780.865740,377253147.973247,-9732307.337976,-16.151515840,-3.917873568,1.245834907,1261.9860
1048126420.696429,2033-03-19T14:12:31.510829,-127741234.999916,375495942.513298,-9208171.541644,-16.863279288,-4.608803891,1.331534691,1225.1115
1048521221.926103,2033-03-24T03:52:32.740474,-134377376.190778,373614354.308963,-8680985.463321,-16.753481783,-4.922599257,1.339028396,1225.1115
1048916023.155777,2033-03-28T17:32:33.970129,-140969141.794088,371609383.662791,-8150932.495450,-16.638489572,-5.233829098,1.346058057,1225.1115
1049310824.385450,2033-04-02T07:12:35.199794,-147514492.677044,369482055.859385,-7618195.650590,-16.518362114,-5.542430733,1.352624656,1225.1115
