Name_DecRadius,Class_Composition_SMASSII,Mass_kg,Radius_km,SMA_AU,Eccentricity,Inclination_deg,RotPeriod_hr,SciScore_A_Characterisation,SciScore_B_Interest,SciScore_Combined,SciFlags_Applied,SciPotential_Score_1to10,DeltaV_Score,Total_WeightedScore,Sub_Mass_Score,Sub_Radius_Score,Sub_Ecc_Score,Sub_Inc_Score,Sub_SMA_Score,Sub_RotPer_Score
558 Carmen  (r=27.4km),M — Metallic or enstatite (ambiguous) [Tholen],3.0176567854346e+17,27.4055,2.908682275,0.038309235,8.373423611,11.387,8,0,3.2,none,3.81,0,3.2016,3,2,9.64,5.11,4.87,9.24
1189 Terentia (1930 SG)  (r=29.6km),Ch — Primitive carbonaceous [SMASSII],1.52441692065661e+17,29.623,2.932636576,0.111160812,9.864575157,19.308,8,2,4.4,aqueous-alteration(+3),8.67,0,3.1893,2,2,6.6,4.13,4.64,4.51
316 Goberta  (r=28.0km),Unclassified,1.84565521527659e+17,28.0335,3.184525053,0.127550219,2.346968422,8.605,6,0,2.4,none,1.56,0,3.1844,2,2,5.84,9.36,1.33,5.96
231 Vindobona  (r=36.8km),Unclassified,4.1657008114826e+17,36.7725,2.917942589,0.15729686,5.089733472,14.245,6,0,2.4,none,1.56,0,3.1836,3,3,4.62,7.82,4.78,7.71
141 Lumen  (r=59.0km),Ch — Primitive carbonaceous [SMASSII],1.20183507149932e+18,58.958,2.666393348,0.212985689,11.89575072,19.87,8,2,4.4,aqueous-alteration(+3),8.67,0,3.1791,4,4,2.47,2.69,7.51,4.24
307 Nike  (r=30.7km),CX — Primitive carbonaceous [Tholen],1.68960177484348e+17,30.6565,2.906696288,0.1429513,6.128539503,11.857,8,0,3.2,none,3.81,0,3.1784,2,2,5.18,6.82,4.89,9.8
465 Alekto  (r=36.7km),Unclassified,4.13096328270318e+17,36.67,3.111514448,0.19754351,4.664658391,10.936,6,0,2.4,none,1.56,0,3.1649,3,3,3,8.18,3.16,8.71
438 Zeuxo  (r=29.4km),F: — Primitive carbonaceous [Tholen],1.49565317338538e+17,29.4355,2.555337478,0.066755872,7.363893502,8.831,8,0,3.2,none,3.81,0,3.1611,2,2,8.51,6.07,8.73,6.22
54 Alexandra  (r=80.1km),C — Primitive carbonaceous [SMASSII],3.00928556766049e+18,80.06,2.71257591,0.198304307,11.83053616,7.024,9,0,3.6,none,6.68,0,3.1536,5,5,2.93,2.73,6.98,3.91
267 Tirza  (r=28.0km),D — Primitive dark (organic-rich) [SMASSII],1.28719459249869e+17,27.999,2.772929772,0.102567978,6.009813159,7.648,8,0,3.2,none,3.81,0,3.1536,2,2,7.04,7.07,5.91,4.64
404 Arsinoe  (r=47.5km),Ch — Primitive carbonaceous [SMASSII],6.27893477976885e+17,47.485,2.591897111,0.20160983,14.09820297,8.887,9,2,4.8,aqueous-alteration(+3),9.41,0,3.1496,4,4,2.84,1.4,8.4,6.33
129 Antigone  (r=56.5km),X — X-complex (metallic / enstatite) [SMASSII],2.64424685880061e+18,56.5,2.868346461,0.213072018,12.26995787,4.9572,8,2,4.4,radar-ambiguous-M(+2),8.67,0,3.1284,5,4,2.44,2.49,5.18,2.18
718 Erida  (r=35.5km),X — X-complex (metallic / enstatite) [SMASSII],6.53442678715885e+17,35.4555,3.069796059,0.192383062,6.891502626,17.447,8,0,3.2,none,3.81,0,3.1282,4,3,3.13,6.38,3.58,5.49
604 Tekmessa  (r=32.3km),Xc — X-complex (metallic / enstatite) [SMASSII],4.92575490485034e+17,32.268,3.15608541,0.191861929,4.415475004,5.5596,8,0,3.2,none,3.81,0,3.1273,3,2,3.22,8.29,1.89,2.62
820 Adriana  (r=29.3km),Unclassified,2.11267487420014e+17,29.325,3.134392181,0.053501985,5.94999225,12.42,6,0,2.4,none,1.56,0,3.1093,2,2,9.2,7.16,2.62,9.4
567 Eleutheria  (r=46.7km),CFB: — Primitive carbonaceous [Tholen],5.97457165630601e+17,46.705,3.141528185,0.08334009,9.228971002,7.717,8,0,3.2,none,3.81,0,3.1091,4,4,7.73,4.58,2.4,4.7
846 Lipperta  (r=26.2km),CBU: — Primitive carbonaceous [Tholen],1.05528347415213e+17,26.205,3.134320987,0.174841773,0.264858947,1641,8,0,3.2,none,3.81,0,3.0904,1,1,3.73,10,2.64,1
356 Liguria  (r=72.8km),C — Primitive carbonaceous [Tholen],2.25809651895838e+18,72.7515,2.75476472,0.242138737,8.205889473,31.701,8,0,3.2,none,3.81,0,3.0873,5,5,1.56,5.31,6.22,1.84
